canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
Operational support for bio-CCS,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2022, 2022)",This support is aimed at research in bio-CCS technologies.,rd_programme,0.7,Driftstöd för bio-CCS,1,10000.0,confidence below threshold,Sweden
Development of Flexible Educational Pathways,higher_education,[],"['section_total', 'program_total', 'line_item']","(2018, 2018)","This program focuses on innovative educational methods, relevant to R&D.",rd_programme,0.7,Utveckling av flexibla utbildningsvägar,1,8000.0,confidence below threshold,Sweden
Competition Research Allocation,science_agency,[],"['section_total', 'program_total', 'line_item']","(1995, 1995)",This allocation is aimed at research in competition studies.,rd_programme,0.65,Konkurrensforskning anvisar ett reservationsanslag på 7 600 000 kr.,1,7600.0,confidence below threshold,Sweden
Geoscientific Research for Budget Year 1995/96,science_agency,[],"['section_total', 'program_total', 'line_item']","(1995, 1995)",This allocation is for geoscientific research activities.,rd_programme,0.6,Geovetenskaplig forskning för budgetåret 1995/96,1,7330.0,confidence below threshold,Sweden
Development of Innovation Systems,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2018, 2018)","This program is aimed at fostering innovation systems, relevant to R&D.",rd_programme,0.7,Utveckling av innovationssystem,1,6371.0,confidence below threshold,Sweden
International Data Center Establishment,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1988, 1988)",This establishment is likely related to data research and development.,rd_programme,0.65,International data center establishment,1,6100.0,confidence below threshold,Sweden
Grant for the Gene Technology Committee,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2020, 2020)",This entity supports research in gene technology.,rd_programme,0.7,Anslag för Gentekniknämnden,1,5709.0,confidence below threshold,Sweden
Increase in Funding for Research and Education at Doctoral Level,higher_education,[],"['section_total', 'program_total', 'line_item']","(2020, 2020)",This entity supports research and education at the doctoral level.,rd_programme,0.7,Increase in funding for research and education at doctoral level,1,5441.0,confidence below threshold,Sweden
Grants to the Royal Swedish Academy of Engineering Sciences,higher_education,[],"['section_total', 'program_total', 'line_item']","(1997, 1998)",This entity supports engineering sciences research.,rd_programme,0.6,Bidrag till Ingenjörsvetenskapsakademien,2,5413.0,confidence below threshold,Sweden
"Grants to the Royal Swedish Academy of Engineering Sciences, Unspecified Grant",higher_education,[],"['section_total', 'program_total', 'line_item']","(1998, 1998)",This entity supports engineering sciences research.,rd_programme,0.6,"Bidrag till Ingenjörsvetenskapsakademien, obetecknat anslag",1,5359.0,confidence below threshold,Sweden
Operation of HIRLAM,science_agency,[],"['section_total', 'program_total', 'line_item']","(1990, 1990)","Involves research in meteorology, indicating R&D relevance.",rd_programme,0.7,Drift av HIRLAM,1,3750.0,confidence below threshold,Sweden
Funding for Research and Documentation,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2021, 2021)","Provides funding for research and documentation, indicating R&D relevance.",rd_fund,0.7,Anslag för forskning och dokumentation,1,3434.0,confidence below threshold,Sweden
Education and Research,higher_education,[],"['section_total', 'program_total', 'line_item']","(1995, 2000)",Supports both education and research initiatives.,rd_programme,0.7,Utbildning och forskning,2,1690.15,confidence below threshold,Sweden
"Nuclear Safety Research, Reserved Funds",direct_rd,[],"['section_total', 'program_total', 'line_item']","(1991, 1991)",This funding is allocated for research in nuclear safety.,rd_fund,0.65,"Karnsakerhetsforskning, reservationsanslag",1,1000.0,confidence below threshold,Sweden
Grants to the Swedish Transport Administration,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1993, 1993)",This entity is likely involved in research related to transportation and traffic.,rd_programme,0.7,Anslag till Statens väg- och trafikinstitut,1,1000.0,confidence below threshold,Sweden
